Trust_Name,Staff_Group,UK_Staff_FTE,Overseas_Staff_FTE,Vacancies_FTE
Dorset Healthcare University NHS Foundation Trust,Support Staff,3317.3,671.0,45.1
Dudley Group NHS Foundation Trust,Doctors,507.6,301.4,7.7
Dudley Group NHS Foundation Trust,Nurses & Midwives,1275.1,564.6,19.1
Dudley Group NHS Foundation Trust,Support Staff,2544.9,514.8,34.6
East Cheshire NHS Trust,Doctors,184.8,109.7,2.8
East Cheshire NHS Trust,Nurses & Midwives,522.9,231.5,7.8
East Cheshire NHS Trust,Support Staff,1126.2,227.8,15.3
East Kent Hospitals University NHS Foundation Trust,Doctors,840.8,499.2,12.8
East Kent Hospitals University NHS Foundation Trust,Nurses & Midwives,2225.2,985.2,33.3
East Kent Hospitals University NHS Foundation Trust,Support Staff,4720.7,954.9,64.2
East Lancashire Hospitals NHS Trust,Doctors,624.7,370.8,9.5
East Lancashire Hospitals NHS Trust,Nurses & Midwives,1953.0,864.7,29.2
East Lancashire Hospitals NHS Trust,Support Staff,4274.1,864.6,58.1
East London NHS Foundation Trust,Doctors,295.9,175.7,4.5
East London NHS Foundation Trust,Nurses & Midwives,1372.1,607.6,20.5
East London NHS Foundation Trust,Support Staff,3772.9,763.2,51.3
East Midlands Ambulance Service NHS Trust,Nurses & Midwives,71.0,31.5,1.1
East Midlands Ambulance Service NHS Trust,Support Staff,3658.4,740.0,49.8
East Suffolk and North Essex NHS Foundation Trust,Doctors,861.3,511.4,13.1
East Suffolk and North Essex NHS Foundation Trust,Nurses & Midwives,2429.1,1075.5,36.3
East Suffolk and North Essex NHS Foundation Trust,Support Staff,5003.8,1012.2,68.1
East Sussex Healthcare NHS Trust,Doctors,518.1,307.5,7.9
East Sussex Healthcare NHS Trust,Nurses & Midwives,1476.2,653.6,22.1
East Sussex Healthcare NHS Trust,Support Staff,3801.0,768.9,51.7
East and North Hertfordshire Teaching NHS Trust,Doctors,651.8,386.9,9.9
East and North Hertfordshire Teaching NHS Trust,Nurses & Midwives,1328.6,588.3,19.9
East and North Hertfordshire Teaching NHS Trust,Support Staff,2565.8,519.0,34.9
East of England Ambulance Service NHS Trust,Doctors,0.4,0.2,0.0
East of England Ambulance Service NHS Trust,Nurses & Midwives,119.5,52.9,1.8
East of England Ambulance Service NHS Trust,Support Staff,5002.2,1011.9,68.0
Epsom and St Helier University Hospitals NHS Trust,Doctors,557.6,331.1,8.5
Epsom and St Helier University Hospitals NHS Trust,Nurses & Midwives,1342.3,594.3,20.1
Epsom and St Helier University Hospitals NHS Trust,Support Staff,2857.2,578.0,38.9
Essex Partnership University NHS Foundation Trust,Doctors,201.2,119.5,3.1
Essex Partnership University NHS Foundation Trust,Nurses & Midwives,1360.9,602.6,20.3
Essex Partnership University NHS Foundation Trust,Support Staff,3355.3,678.7,45.6
Frimley Health NHS Foundation Trust,Doctors,940.3,558.2,14.3
Frimley Health NHS Foundation Trust,Nurses & Midwives,2362.5,1046.0,35.3
Frimley Health NHS Foundation Trust,Support Staff,4683.6,947.4,63.7
Gateshead Health NHS Foundation Trust,Doctors,323.3,192.0,4.9
Gateshead Health NHS Foundation Trust,Nurses & Midwives,897.4,397.4,13.4
Gateshead Health NHS Foundation Trust,Support Staff,2332.6,471.8,31.7
George Eliot Hospital NHS Trust,Doctors,264.2,156.8,4.0
George Eliot Hospital NHS Trust,Nurses & Midwives,611.7,270.9,9.1
George Eliot Hospital NHS Trust,Support Staff,1399.4,283.1,19.0
Gloucestershire Health and Care NHS Foundation Trust,Doctors,90.7,53.8,1.4
